Outcome,Criterion,Best_Method
EUROD,best_tpr,FairConstraints
EUROD,best_eo,ExpGrad_EO
EUROD,best_dp,FairConstraints
EUROD,best_deployable,FairConstraints
EUROD,best_auroc,GroupDRO
LS,best_tpr,ExpGrad_EO
LS,best_eo,ExpGrad_EO
LS,best_dp,ExpGrad_DP
LS,best_deployable,ExpGrad_EO
LS,best_auroc,CTGAN
CASP,best_tpr,ExpGrad_TPR
CASP,best_eo,ThreshOpt_EO
CASP,best_dp,FairConstraints
CASP,best_deployable,ExpGrad_TPR
CASP,best_auroc,GroupDRO
SRH,best_tpr,RejectOption
SRH,best_eo,ExpGrad_EO
SRH,best_dp,ThreshOpt_DP
SRH,best_deployable,ExpGrad_TPR
SRH,best_auroc,CorrelationRemover
